City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
436,Grand-Santi,GF,72.28,4.25,-54.3833,
437,Itupiranga,BR,72.36,-5.1347,-49.3267,
440,Olga,RU,65.25,43.7444,135.2892,
441,Predivinsk,RU,61.88,57.0669,93.4378,
442,Kuminskiy,RU,65.23,58.6667,66.5667,
443,Thika,KE,64.02,-1.0333,37.0693,
444,Morondava,MG,68.05,-20.2833,44.2833,
445,Sao Bento,BR,75.63,-6.2833,-37.75,
447,Hami,CN,74.5,42.8,93.45,
449,Preobrazheniye,RU,61.84,42.9019,133.9064,
450,Front Royal,US,69.31,38.9182,-78.1944,
451,Chambersburg,US,68.59,39.9376,-77.6611,
453,Biltine,TD,88.39,14.5333,20.9167,
454,Kytmanovo,RU,65.01,53.4593,85.4479,
455,Grand Gaube,MU,70.38,-20.0064,57.6608,
456,Farafangana,MG,66.6,-22.8167,47.8333,
457,Gunjur,GM,78.87,13.2019,-16.7339,
458,Bar Bigha,IN,80.22,25.2167,85.7333,
459,Balad,IQ,82.71,34.0164,44.1453,
460,Karabulak,RU,64.96,43.3036,44.8964,
462,Modasa,IN,86.07,23.4667,73.3,
463,Ankang,CN,79.95,32.68,109.0172,
464,Lisieux,FR,62.46,49.1667,0.1667,
466,Tiruvallur,IN,85.64,13.15,79.9167,
467,Remuna,IN,82.81,21.5261,86.8722,
469,Igunga,TZ,62.71,-4.2833,33.8833,
470,Poquoson,US,78.01,37.1224,-76.3458,
471,Fort Frances,CA,61.72,48.5999,-93.4003,
473,Schleiden,DE,62.85,50.5295,6.477,
475,Nguruka,TZ,61.38,-5.1092,31.0419,
476,Bowen,AU,80.82,-20.0167,148.2333,
477,Kiama,AU,66.58,-34.6833,150.8667,
478,Camacha,PT,66.96,33.0833,-16.3333,
480,Fomboni,KM,77.94,-12.28,43.7425,
481,Basco,PH,84.67,20.4487,121.9702,
482,Wapi Pathum,TH,87.33,15.8452,103.3768,
483,Virginia Beach,US,78.03,36.8529,-75.97800000000001,
485,Am Timan,TD,81.39,11.0297,20.2827,
486,San Jose,US,84.7,37.3394,-121.895,
487,Westport,US,71.74,41.1415,-73.3579,
490,Ahipara,NZ,61.5,-35.1667,173.1667,
491,Kysyl-Syr,RU,68.32,63.8986,122.7617,
494,Sao Jose Da Coroa Grande,BR,74.39,-8.8978,-35.1478,
495,Bentiu,SS,76.66,9.2333,29.8333,
496,Orikum,AL,65.01,40.3253,19.4714,
498,Francisco Sa,BR,64.54,-16.4758,-43.4883,
499,Tashtagol,RU,65.17,52.7657,87.8894,
500,Sao Filipe,CV,73.02,14.8961,-24.4956,
501,Codajas,BR,72.23,-3.8367,-62.0569,
502,Yanam,IN,84.6,16.7333,82.2167,
503,Puerto Baquerizo Moreno,EC,72.7,-0.9,-89.6,
504,Prince George,CA,65.64,53.9166,-122.75299999999999,
505,Aksu,CN,71.87,41.1231,80.2644,
506,Homer,US,67.08,59.6425,-151.5483,
508,Kholodnyy,RU,69.64,62.7167,147.95,
509,Kahului,US,86.02,20.8947,-156.47,
511,Amga,RU,69.37,60.8953,131.9608,
513,Zholymbet,KZ,72.34,51.7433,71.7122,
515,Santa Catarina De Tepehuanes,MX,74.07,25.35,-105.7333,
516,Praya,CV,73.35,14.9215,-23.5087,
517,Haines Junction,CA,60.75,60.7522,-137.5108,
518,Santa Isabel Do Rio Negro,BR,72.12,-0.4139,-65.0192,
519,Hosakote,IN,76.06,14.2769,77.1699,
520,Satipo,PE,69.13,-11.2522,-74.6386,
521,Hun,LY,72.77,29.1268,15.9477,
523,Yaita,JP,71.89,36.8,139.9333,
526,Nouakchott,MR,73.33,18.0858,-15.9785,
527,Ateli,IN,85.41,28.1,76.2833,
531,Tarakan,ID,80.1,3.3,117.6333,
533,Oeiras Do Para,BR,72.7,-2.0031,-49.8544,
534,Tashla,RU,68.52,51.7716,52.7427,
535,Kulhudhuffushi,MV,82.87,6.6221,73.07,
537,Kondagaon,IN,75.54,19.6,81.6667,
539,Tigzirt,DZ,76.82,36.8886,4.1198,
541,Montana,BG,63.55,43.4125,23.225,
542,Felipe Carrillo Puerto,MX,75.88,19.5833,-88.05,
544,Great Falls,US,82.42,47.5002,-111.3008,
546,Baykit,RU,65.73,61.67,96.37,
547,Tadine,NC,77.72,-21.55,167.8833,
549,Gryazi,RU,62.46,52.4966,39.9359,
550,Gayeri,BF,87.3,12.6497,0.4931,
551,Altamira,BR,71.04,-3.2033,-52.2064,
552,Oranjestad,AW,82.35,12.524000000000001,-70.027,
553,Voh,NC,82.54,-20.9667,164.7,
554,Kavieng,PG,84.81,-2.5744,150.7967,
555,Kapustin Yar,RU,68.63,48.5831,45.7372,
556,Puurs,BE,64.69,51.075,4.29,
558,Ilheus,BR,69.62,-14.7889,-39.0494,
560,Iquique,CL,64.44,-20.2208,-70.1431,
